科目分類,群,区分,科目名,クラス,担当教員,配当年次1年次,配当年次2年次,配当年次3年次,配当年次4年次,開校時期,単位数,摘要
日本語リテラシー科目,,,日本語リテラシー,1,高松正毅,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,2,名和賢美,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,3,谷川卓,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,4,上村淳志,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,5,上村淳志,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,6,山下真吾,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,7,山下真吾,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,8,飯塚真弓,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,9,飯塚真弓,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,10,森脇孝広,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,11,森脇孝広,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,12,森脇孝広,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,13,小草泰,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,14,小草泰,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,15,関根里奈子,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,16,横山陸,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,17,横山陸,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,18,高取正大,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,19,高取正大,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,20,川橋郁子,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,21,川橋郁子,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,22,石川真奈実,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,23,石川真奈実,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,24,石川真奈実,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,25,天本貴之,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,26,天本貴之,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,27,天本貴之,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,28,松村美穂,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,29,松村美穂,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,30,松村美穂,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,31,國分翼,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,32,國分翼,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,33,國分翼,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,34,高萩智也,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,35,高萩智也,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,36,高萩智也,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,37,渡辺浩太,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,38,渡辺浩太,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,39,小高絢子,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,40,小高絢子,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,41,蔡珂,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,42,天野恵美理,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,43,天野恵美理,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,44,原田玄機,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,45,原田玄機,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシー,46,新井庭子,○,,,,前期,2,
日本語リテラシー科目,,,日本語リテラシーII,1,高松正毅,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,2,名和賢美,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,3,谷川卓,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,4,上村淳志,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,5,山下真吾,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,6,守博紀,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,7,飯塚真弓,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,8,森脇孝広,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,9,小草泰,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,10,横山陸,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,11,高取正大,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,12,川橋郁子,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,13,石川真奈実,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,14,天本貴之,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,15,松村美穂,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,16,國分翼,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,17,高萩智也,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,18,渡辺浩太,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,19,小高絢子,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,20,天野恵美理,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,21,天野恵美理,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,22,原田玄機,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,23,原田玄機,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,24,新井庭子,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,25,新井庭子,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシーII,26,新井庭子,○,,,,後期,2,
日本語リテラシー科目,,,日本語リテラシー1 (再履),1,原田玄機,○,○,○,○,後期,2,再履修者用のクラス
日本語リテラシー科目,,,日本語リテラシー1 (再履),2,天野恵美理,○,○,○,○,後期,2,再履修者用のクラス
日本語リテラシー科目,,,日本語リテラシーII (再履),1,新井庭子,○,○,○,○,前期,2,再履修者用のクラス
日本語リテラシー科目,,,日本語リテラシーII (再履),2,蔡珂,○,○,○,○,前期,2,再履修者用のクラス
外国語科目,,英語,General English I,1,コントレラス ジェフリー,○,,,,前期,2,
外国語科目,,英語,General English I,2,コントレラス ジェフリー,○,,,,前期,2,
外国語科目,,英語,General English I,3,ウェブスター アタム,○,,,,前期,2,
外国語科目,,英語,General English I,4,ミキ フランシン クロエ,○,,,,前期,2,
外国語科目,,英語,General English I,5,ミキ フランシン クロエ,○,,,,前期,2,
外国語科目,,英語,General English I,6,ミキ フランシン クロエ,○,,,,前期,2,
外国語科目,,英語,General English I,7,ウェブスター アタム,○,,,,前期,2,
外国語科目,,英語,General English I,8,アンドリュース 美穂,○,,,,前期,2,
外国語科目,,英語,General English I,9,アンドリュース 美穂,○,,,,前期,2,
外国語科目,,英語,General English I,10,姉崎 達夫,○,,,,前期,2,
外国語科目,,英語,General English I,11,ジャスティン マーサー,○,,,,前期,2,
外国語科目,,英語,General English I,12,ロテリック ロス,○,,,,前期,2,
外国語科目,,英語,General English I,13,ブランパク スティーブン,○,,,,前期,2,
外国語科目,,英語,General English I,14,ジャスティン マーサー,○,,,,前期,2,
外国語科目,,英語,General English I,15,ロテリック ロス,○,,,,前期,2,
外国語科目,,英語,General English I,16,ブランパク スティーブン,○,,,,前期,2,
外国語科目,,英語,General English I,17,ジャスティン マーサー,○,,,,前期,2,
外国語科目,,英語,General English I,18,ジャスティン マーサー,○,,,,前期,2,
外国語科目,,英語,General English I,19,ロテリック ロス,○,,,,前期,2,
外国語科目,,英語,General English I,20,ブランパク スティーブン,○,,,,前期,2,
外国語科目,,英語,General English I,21,遠藤 真知子,○,,,,前期,2,
外国語科目,,英語,General English I,22,遠藤 真知子,○,,,,前期,2,
外国語科目,,英語,General English I,23,夏苅 佐宜,○,,,,前期,2,
外国語科目,,英語,General English I,24,島原 秀人,○,,,,前期,2,
外国語科目,,英語,General English I,25,高野 弘子,○,,,,前期,2,
外国語科目,,英語,General English I,26,高野 弘子,○,,,,前期,2,
外国語科目,,英語,General English II,1,コントレラス ジェフリー,○,,,,後期,2,
外国語科目,,英語,General English II,2,コントレラス ジェフリー,○,,,,後期,2,
外国語科目,,英語,General English II,3,ウェブスター アタム,○,,,,後期,2,
外国語科目,,英語,General English II,4,ミキ フランシン クロエ,○,,,,後期,2,
外国語科目,,英語,General English II,5,ミキ フランシン クロエ,○,,,,後期,2,
外国語科目,,英語,General English II,6,ミキ フランシン クロエ,○,,,,後期,2,
外国語科目,,英語,General English II,7,ウェブスター アタム,○,,,,後期,2,
外国語科目,,英語,General English II,8,アンドリュース 美穂,○,,,,後期,2,
